variety,country,region,sku,distributor-url,unit-of-measurement,quantity,price-break-1,price-usd-1,price-break-2,price-usd-2,description,image-url,attributes,category,moq,order-multiple,max-order,on-order-quantity,on-order-eta,packaging,form,year,grower
Challenger,UK,,1520x,http://www.midwestsupplies.com/challenger-uk-pellet-hops.html,oz,,1,2.29,8,14.95,A dual purpose hop combining moderate alpha acid levels with a good kettle hop aroma. Extremely versatile; widely used for both early and late kettle hopping,http://www.midwestsupplies.com/media/catalog/product/cache/1/small_image/310x249/9df78eab33525d08d6e5fb8d27136e95/p/e/pellet-hops.jpg,alpha acids::5.0-9.0%;;beta acids::3.2-4.2%;;co-humulone::20-25%;;total oil::1.0-1.15ml/100g;;,,1,1,,,,,Pellet,,
Cascade,US,,1502x,http://www.midwestsupplies.com/cascade-pellet-hops.html,oz,,1,1.79,8,11.99,"Brew your American Pale Ale or IPA with these great all-around Cascade hops. Enjoy a pleasantly smooth grapefruit, citrus-y flavor with a hint of floral aroma. This is the one to keep on hand for using with American hops, British hops and SAAZ. It's one of our best-selling hops.",http://www.midwestsupplies.com/media/catalog/product/cache/1/small_image/310x249/9df78eab33525d08d6e5fb8d27136e95/p/e/pellet-hops.jpg,alpha acids::4.5-7.0%;;co-humulone::33-40%;;total oil::0.8-1.5ml/100g;;,,1,1,,,,,Pellet,,
Cascade,US,,1801x,http://www.midwestsupplies.com/cascade-7-4-leaf-hops.html,oz,,1,2.49,16,21.74,"A classic aroma and bittering hop with distinctive grapefruit aroma/flavor. The most popular hop among craft brewers. Commonly used in Pale Ales, IPAs, Porters and Barley wines.",http://www.midwestsupplies.com/media/catalog/product/cache/1/small_image/310x261/9df78eab33525d08d6e5fb8d27136e95/h/o/hop_leaf_4.jpg,alpha acids::7.4%;;co-humulone::33-40%;;total oil::0.8-1.5ml/100g;;,,1,1,,,,,Leaf,,
